id,from,to,req,status
1,4,1,0,Scheduled
2,9,3,76.5,Scheduled
3,2,10,154.5,Scheduled
4,11,4,231,Scheduled
5,1,5,307.5,Scheduled
6,7,12,384,Scheduled
7,3,8,462,Scheduled
8,5,9,538.5,Scheduled
9,10,6,615,Scheduled
10,2,4,693,Scheduled
11,12,7,769.5,Scheduled
12,1,11,846,Scheduled
13,6,2,922.5,Scheduled
14,4,10,1000.5,Scheduled
15,7,3,1077,Scheduled
16,3,5,1153.5,Scheduled
17,2,12,1231.5,Scheduled
18,9,1,1308,Scheduled
19,5,11,1384.5,Scheduled
20,1,6,1461,Scheduled
21,6,7,1539,Scheduled
22,10,1,1615.5,Scheduled
23,7,4,1692,Scheduled
24,4,2,1768.5,Scheduled
25,8,5,1846.5,Scheduled
26,2,9,1923,Scheduled
27,5,12,1999.5,Scheduled
28,11,3,2077.5,Scheduled
29,6,1,2154,Scheduled
30,3,10,2230.5,Scheduled
31,8,3,2307,Scheduled
32,12,2,2385,Scheduled
33,8,7,2461.5,Scheduled
34,12,10,2538,Scheduled
35,9,2,2616,Scheduled
36,10,2,2692.5,Scheduled
37,11,9,2769,Scheduled
38,9,6,2845.5,Scheduled
39,10,8,2923.5,Scheduled
40,11,6,3000,Scheduled
